seg_id,category,group,has_proper_noun,duration_s,ko_ref,hyp_ko,chrf++,latin_leak,translate_elapsed_s
7112_25921_45.76_52.76,게임,normal,False,7.0,찬찬히 찾고 있는 수의사도 돌아와서 응시한다,자세히 조사하던 수의사도 돌아와서 쳐다보자.,32.14,False,2.327999999979511
7112_25921_52.76_59.76,게임,normal,False,7.0,고양이 배송까지 꽤 마음에 드는 그림이 되었다,고양이 배송까지 꽤 마음에 드는 그림이 됐어.,81.76,False,0.8600000001024455
7112_25921_78.40_85.02,게임,normal,False,6.61999999999999,덧붙여서 작은 프레쉬는 보이는 소리를 혼자 듣고 있기 때문에,"그치, 작은 프레시는 지금 혼자서 보이는 소리를 듣고 있어.",28.97,False,0.8589999999385327
7112_25921_85.66_94.10,게임,normal,False,8.439999999999998,알아보세요 permits 프레쉬부터 읽어보세요.,"알겠어, 'フレッシュ'부터 읽어보세요.",29.02,False,0.625
7112_25921_94.90_101.24,게임,normal,False,6.339999999999989,"붉은기는, 또, 능력이라고 할까 의식이...","붉은 빛은, 또, 능력이라기보다는 의식이, ,,",33.39,False,0.8279999999795109
7112_25922_10.00_12.00,게임,normal,False,2.0,아니 몰라도 길이 있어,"아니, 모르는 것에도 길은 있어.",17.11,False,0.5470000000204891
7112_25922_108.00_110.00,게임,normal,False,2.0,장난꾸러기라니 정말 정말 정말로,진짜로 장난치지 마라.,4.81,False,0.4690000000409782
7112_25922_110.00_113.00,게임,normal,False,3.0,밤의 학교는 공포의 정석이지.,밤의 학교는 공포의 대표작이잖아.,55.07,False,0.6559999999590218
7112_25922_120.00_121.00,게임,normal,False,1.0,촛불 게이지 같은 거 있어,焔 모양의 게이지 같은 거 있어.,67.6,False,0.5160000000614673
7112_25922_123.00_124.00,게임,normal,False,1.0,잠깐만 촛불이 있어,"잠깐, 촛불이 있잖아.",25.63,False,0.5309999999590218
7112_25922_127.00_129.00,게임,normal,False,2.0,이거 헤어지면 끝이야,이건 멀리 떠나면 끝장이야.,9.42,False,0.6870000001508743
7112_25922_135.00_136.00,게임,normal,False,1.0,그럼 촛불 다 내가 맡을 테니까,그럼 초는 전부 내가 보관할게.,10.5,False,0.5319999998901039
7112_25922_146.00_148.00,게임,normal,False,2.0,사용설명서에 2권 뺏기지 않은 지금,이제 설명서 2권을 빼앗기지 않았다.,12.87,False,0.6869999999180436
7112_25922_152.00_154.00,게임,normal,False,2.0,좀 읽어보고 읽어보고,"조금 읽어上げ다, 읽어上げ다",7.94,False,0.5779999999795109
7112_25922_156.00_157.00,게임,normal,False,1.0,기다려 매치하고 있다고 나도,"기다려, 매치가 필요하다고, 나도.",21.71,False,0.5940000000409782
7112_25922_16.00_18.00,게임,normal,False,2.0,아! 샘 형 찼지!,아! 삼(사)미 씨가 찼지!,29.06,False,0.6559999999590218
7112_25922_161.00_162.00,게임,normal,False,1.0,불붙은 촛불을 만들다,불이 붙은 촛불을 만든다.,41.91,False,0.5780000002123415
7112_25922_163.00_164.00,게임,normal,False,1.0,납땜을 만들 필요가 있다,로우다이를 만들어야 해.,5.04,False,0.43799999984912574
7112_25922_170.00_172.00,게임,normal,False,2.0,숙제와 양초와 성냥을 조합하면 만들 수 있다,"숙제와 초, 매치를 조합하면 만들 수 있어.",41.8,False,0.6400000001303852
7112_25922_175.00_176.00,게임,normal,False,1.0,촛불이 없어지면 불이 꺼진다,焔이 꺼지려면 촛불이 없어져야 해,25.29,False,0.7659999998286366
7112_25922_180.00_181.00,게임,normal,False,1.0,불붙은 숙제와 촛불을 조합하면,점이 붙은 숙제랑 초를 섞으면?,11.46,False,0.625
7112_25922_186.00_188.00,게임,normal,False,2.0,불붙은 숙제를 가지고 있는 사람 근처에 있는 사람도,불이 붙은 숙제를 가진 사람 옆에 있는 사람도,38.76,False,0.7029999999795109
