seg_id,category,duration_s,ja_ref,hyp,cer,chrf++,bleu_char,rouge_l_f1,stt_elapsed_s
7112_25921_45.76_52.76,게임,7.0,じっくり探している獣医も戻ってきて凝視される,うん。,1.0,0.0,0.0,0.0,6.272968899997068
7112_25921_52.76_59.76,게임,7.0,猫の配送までかなりお気に入りの絵になった,うん。,1.0,0.0,0.0,0.0,2.265264500005287
7112_25921_78.40_85.02,게임,6.61999999999999,ちなみに小さいフレッシュは、みえる音を一人で聞いているので、,うん。,1.0,0.0,0.0,0.0,2.0165901000000304
7112_25921_85.66_94.10,게임,8.439999999999998,わかり permits フレッシュから読んでみてください。,うん。,0.9615,1.57,0.0,0.0714,2.5910469999944326
7112_25921_94.90_101.24,게임,6.339999999999989,赤みは、また、能力というか意識が、、,うん。,0.9286,2.87,0.12,0.125,2.0478814999951283
1352_5491_0.03_4.10,여행,4.068087542139571,ライブ配信をしたいなとということで、もう、金曜日の夜なんでね。,ライブ配信をしたいなと思って、ということであのもう金曜日の夜なんでね。,0.1786,65.51,73.88,0.918,4.481898700003512
1352_5491_107.00_109.00,여행,2.0,マンペーの声小っちゃいってきたな。,壁の声ちっちゃいってきたな,0.3125,45.28,55.7,0.7586,2.237633699987782
1352_5491_113.00_115.00,여행,2.0,ピンマイクみたいなのを買わなかった？,これピンマイクみたいなサマだからな。,0.5556,37.39,47.55,0.5714,2.6345610999997007
1352_5491_117.00_119.00,여행,2.0,1件しか来てないから多分大丈夫だと思う。,一件しか来てないから多分大丈夫だった。,0.2105,65.51,77.31,0.8108,2.8094339999952354
1352_5491_119.00_121.00,여행,2.0047615183328418,ピンマイクあれ、（なんぼ）/（いくら）するんやろうなあ？,一枚があれ何百円だよな。,0.8889,2.43,1.94,0.1579,2.621744000003673
8407_40837_0.00_15.28,"음식,요리",15.28,今日はほとんど忘れていなかった、蒸気ガスパッケージを紹介します,うん。,0.9667,1.37,0.0,0.0625,3.492704499993124
8407_40837_106.28_108.28,"음식,요리",2.0,おっと、おぶさんありがとう,どうもさんありがとう。,0.4167,40.77,52.31,0.6364,1.6782627000065986
8407_40837_108.28_114.28,"음식,요리",6.0,久しぶりの寿司だよ、いつぶり?半年くらい?めっちゃ久しぶり,いや久しぶりの久しぶりだよ。いつぶり半年ぐらい。え、めっちゃ久しぶり。,0.3214,39.85,51.67,0.7797,5.068792399993981
8407_40837_116.28_119.28,"음식,요리",3.0,ライブ初参戦、日生さん、よいよいよい,ライブ八三千二千三よいよい。,0.5625,15.8,22.2,0.4828,2.81039499999315
8407_40837_120.28_122.28,"음식,요리",2.0,トモさんありがとう、一万人,あともさんありがとう一万人,0.25,65.64,73.62,0.8,1.8808172999997623
1373_5567_102.40_111.99,"일상,소통",9.585014636599993,で、なんかね、最近、ちょっと、途中で写真とかを挿入できるように、なんか、ソフトを使って配信してるんですよね。,でなんかね最近ちょっと途中で写真とかを挿入できるようになんかソフトを使って配信してるんですよね。,0.0,100.0,100.0,1.0,6.516531199988094
1373_5567_111.99_121.85,"일상,소통",9.860005090983364,なので、なんかね、私たちと、皆さん、私たちじゃない、私と皆さんの間に、あの、時差が、10秒とか20秒くらいあるのかな。みたいなんですけど。,なのでなんかね私たちと皆さん私たちとじゃない私と皆さんの間にあの時差が十秒とか二十秒くらいあるのかなみたいなんですけど。,0.0847,68.81,84.88,0.9322,7.895859099997324
1373_5567_122.00_126.63,"일상,소통",4.625073182999998,ちょっとまあ、それは、あまり気にしないように、ちょっとね、配信していきたいと思います。,ちょっとまあそれはあまり気にしないようにちょっとね配信して行きたいと思います。,0.0263,77.04,92.99,0.9737,4.176726599995163
1373_5567_127.20_133.94,"일상,소통",6.735122820099988,よし。で、えーと、ちょっと待ってくださいね。私のチャットが見やすいように、自分のページをスマホで見ますね。,よしでえっとちょっと待ってくださいね私のチャットが見やすいように自分のページをスマホで見ますね。,0.0213,79.18,94.41,0.9787,6.462177499997779
1373_5567_134.90_138.76,"일상,소통",3.8550439098000027,よいしょ。はい。オッケー。これで、見られるようになりました。,有声はいオッケー声で見られるようになりました,0.24,54.08,67.53,0.8085,3.265911300011794
7266_28097_0.00_8.64,"패션,뷰티",8.64,こちら、左手の中指も取れちゃって、その数日前にも右手、両方とも今回は中指が取れてしまいました。,こちらえっと左手の中指も取れちゃって、その数日前にもね右手なんだろうね両方とも今回は中指が取れてしまいます。,0.2791,65.55,69.34,0.8632,8.261642100012978
7266_28097_102.40_106.04,"패션,뷰티",3.6400000000000006,その後一緒にご飯とかは行ったりするんですけど、,なんかその後一緒にねご飯とかは行ったりするんですけど,0.1818,71.07,77.09,0.9167,3.2634161000023596
7266_28097_106.04_111.56,"패션,뷰티",5.519999999999996,ネイルはちょっと行くときはお休みになっちゃう方が多くて、,なんかねまあネイルはねちょっと一時やっぱお休みになっちゃう方が多くて,0.4444,48.29,52.87,0.7213,4.915189499995904
7266_28097_111.56_118.04,"패션,뷰티",6.480000000000004,ちょっと施術のお客様が減ってはいるので、,あのちょっと手術のお客様減ってはいるので。,0.2105,47.55,65.15,0.8718,3.75298780000594
7266_28097_118.04_124.44,"패션,뷰티",6.3999999999999915,どっかのタイミングで少しだけ募集するかもは考えているので、,ちょっとどっかのタイミングで少しだけ募集するかもはちょっと考えているので。,0.2857,72.36,72.21,0.875,5.247198299999582
